address,amount
38UagPtVH7X7aADSNHnS6CPihqXizes8oA,8.19195504
37qjuQAbGXqnmBYi1BD4ryHZ3CSh8Eh47W*,6.48773472
3KKVZB7niD7p84phX8HSgkJPhLSHzfg5wF,11.26440485
3PgACpndH4EQEQj9nfLEAZFYGEgUdUi9Ft,4.10179566
3DkUMsqS6hAd9TK9npkDRUdjae6CHutEkK,114.3771278
3Hg8JEmcX2wxhzRmrHbEdJpZrMAS63DVxH,9.46781539
39beWJgDf97srnDbr4fJ7q6hzAyJ61wzqS,21.74693716
3Gjv7NrA7Qq9WdrJcfg1wjUi5eBixYPvGW,15.79245743
3CBJisGUcBVzZS7bfN5Y92CzQR71tn93RG,16.38460542
3CbzpJmsceSg6DHrcDd5g2fjdvEHKinytv,8.19228082
3KoxL64fZ8T273t6oBKVLfQT3wr1m63hjE,7.04372294
37NKzjLi293iAj5JEpXyzMTSo9wzMyvhZp,11.26452661
3QKZuAmHMmx4YikFinUbxDYgvXTCATumcE,13.08709235
3ForPoMpdkHF5XsZrAqzdVsNbTo1Puv5EY,2.83583799
3KRrcQSk7EXLZwwTX5kvWBNMtUB8pp6BGo,2.94173407
3N1w9Yp5ncTdhebxyBK96aKJv2ndqu3ewx,2.04795493
Total,255.2279832
